Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Total,Neutral_Pos,Neutral_Neg
1172.05,1153.9,47.200000000000045,4.888891527446959,18.206280399158466,IT,Buy,37.7254902,12.39215686,1275,37.7254902,24.52675252
1128.26,1145.17,19.810000000000173,1.2779329300191469,19.001877107267955,IT,Buy,35.41076487,10.19830028,4236,35.41076487,17.82431404
1156.59,1166.2,15.690000000000055,0.6324860225704145,11.807034134569484,IT,Buy,40.625,6.332236842,3648,40.625,15.30642228
1164.6,1165.795,11.990000000000009,0.9998858926018954,12.013964547202113,IT,Buy,40.32258065,7.917888563,2046,40.32258065,18.17530637
1170.0,1168.9850000000001,15.480000000000018,3.976061030939729,17.548538934138094,IT,Buy,40.4494382,2.247191011,89,40.4494382,6.960768821
1179.03,1188.975,13.86999999999989,3.197976660047445,10.86871348693376,IT,Buy,44.00826446,8.987603306,968,44.00826446,24.00041968
1189.15,1184.06,15.0,2.2187768220664648,14.055963503220871,IT,Buy,43.71316306,8.251473477,1018,43.71316306,22.23305862
1175.9,1170.2199999999998,6.789999999999964,4.947510786780636,9.154913250500343,IT,Buy,42.85714286,1.428571429,70,42.85714286,7.731234319
1168.36,1181.085,11.680000000000064,1.4233972618046518,19.571002005731867,IT,Sell,44.63028169,5.105633803,1136,44.63028169,16.85849789
1189.0,1175.9099999999999,16.5,2.3670877401457022,10.783405811895157,IT,Buy,35.53875236,15.78449905,1058,35.53875236,29.12469907
1172.0,1196.25,17.190000000000055,3.587881486922966,13.885805276831778,IT,Buy,34.09090909,11.62587413,1144,34.09090909,19.35960595
1205.0,1223.325,19.1400000000001,4.633251836914718,14.359770283485961,IT,Buy,35.17635844,9.342230696,1049,35.17635844,15.87776843
1236.0,1254.8000000000002,17.569999999999936,4.629125910558472,12.043113859280611,IT,Keep,43.75523889,6.370494552,1193,43.75523889,18.5131766
1245.15,1268.21,20.309999999999945,1.6980341017573375,5.791453011309377,IT,Buy,37.72775991,9.860664523,933,37.72775991,19.46603756
1273.39,1313.9299999999998,47.6400000000001,4.307793635535999,6.9908896137047165,IT,Buy,40.64777328,7.449392713,1235,40.64777328,17.5635073
1312.24,1293.635,20.579999999999927,4.343007305225074,9.079140953800927,IT,Buy,46.68094218,7.708779443,934,46.68094218,24.11544967
1312.0,1312.24,30.789999999999964,1.2404972485329209,5.900785379947354,IT,Buy,32.84671533,8.102189781,1370,32.84671533,11.06804349
1338.09,1366.165,50.16000000000008,3.2156601213950684,7.380255307854032,IT,Buy,37.04,10.08,1250,37.04,19.2169486
1368.0,1397.03,21.61999999999989,1.9972729242952083,11.516595947008607,IT,Buy,16.4960182,3.905953735,2637,34.07709766,3.905953735
1409.18,1420.495,47.25,3.150304872256423,15.83459382124044,IT,Buy,35.37214444,8.474576271,1357,35.37214444,14.33824558
1451.3,1417.5,74.74000000000001,0.8497266372340289,19.2177700132804,IT,Buy,32.62135922,7.912621359,2060,32.62135922,10.46355054
1477.39,1399.62,138.26,3.774211361073408,13.68908907244187,IT,Buy,38.94823336,10.7641742,2434,38.94823336,22.49353036
1361.46,1432.8899999999999,45.83999999999992,2.415083175938957,8.849048178578046,IT,Buy,39.39114391,8.763837638,1084,39.39114391,18.93576779
1429.67,1356.24,117.56999999999994,2.254914543089186,12.20720161017027,IT,Sell,48.22373394,9.750566893,1323,48.22373394,29.74181632
1364.67,1400.22,36.190000000000055,3.6900330953239546,12.187698749868533,IT,Buy,40.472879,11.89151599,1438,40.472879,26.27285958
1406.25,1464.325,32.100000000000136,0.9207501012139643,19.065859361212006,IT,Buy,38.92068684,8.99427637,1223,38.92068684,18.92618818
1457.37,1457.42,42.27999999999997,2.789923421253565,18.199157127156038,IT,Keep,35.70658037,12.29773463,927,35.70658037,22.31899822
1485.0,1490.06,26.779999999999973,3.8462538235925887,14.388445032249155,IT,Buy,39.94029851,8.597014925,1675,39.94029851,19.15127696
1495.34,1515.575,15.839999999999918,1.08551414360239,14.34625644814979,IT,Buy,40.37433155,9.803921569,1122,40.37433155,21.99912329
1524.5,1515.98,16.700000000000045,3.4682466427065703,8.649682955598603,IT,Buy,39.92094862,10.67193676,1265,39.92094862,23.28177074
1513.6,1484.675,46.039999999999964,4.20700849629368,9.187778888501132,IT,Buy,36.69491525,14.83050847,1180,36.69491525,28.3728808
1494.24,1535.42,14.13000000000011,4.205926723778927,12.246501219927662,IT,Buy,38.27418232,7.79401531,1437,38.27418232,15.87916154
1526.52,1550.9299999999998,9.63000000000011,2.856437148717165,16.185973071710226,IT,Buy,38.16725979,9.786476868,1124,38.16725979,19.75716212
